ticker,test_accuracy,benchmark_test_accuracy,train_accuracy,benchmark_train_accuracy
CNX,0.6811320754716981,0.3584905660377358,0.6769662921348315,0.38670411985018727
COF,0.34626436781609193,0.3275862068965517,0.33429394812680113,0.3681556195965418
COP,0.3854166666666667,0.3411458333333333,0.4608355091383812,0.3433420365535248
COTY,0.04195804195804196,0.4125874125874126,0.06020066889632107,0.3734671125975474
CPE,0.14634146341463414,0.3804878048780488,0.13838748495788206,0.3916967509025271
CSX,0.5678670360110804,0.3379501385041551,0.5873555404486743,0.36845683208701563
CXO,0.2857142857142857,0.3687707641196013,0.29558701082431305,0.34138218151540384
DAL,0.32463295269168024,0.3442088091353997,0.39708265802269044,0.36385737439222043
DBD,0.4789915966386555,0.373109243697479,0.47146401985111663,0.4011579818031431
DFS,0.3195121951219512,0.38414634146341464,0.36462093862815886,0.3574007220216607
DIS,0.5087040618955513,0.30754352030947774,0.5167144221585482,0.3314231136580707
DLPH,0.5598802395209581,0.3413173652694611,0.5623145400593472,0.3620178041543027
DNOW,0.543859649122807,0.41228070175438597,0.5794594594594594,0.37513513513513513
DO,0.5407925407925408,0.358974358974359,0.5153172866520788,0.35667396061269147
DOW,0.6666666666666666,0.4444444444444444,0.14285714285714285,0.42857142857142855
DRH,0.9792207792207792,0.4,0.9816625916870416,0.40097799511002447
DVA,0.4073170731707317,0.3695121951219512,0.338748495788207,0.34957882069795426
ECL,0.30210016155088854,0.33279483037156704,0.2895148669796557,0.3317683881064163
EDU,0.31097560975609756,0.36341463414634145,0.3351383874849579,0.3309265944645006
EL,0.4475609756097561,0.3378048780487805,0.4548736462093863,0.32912154031287605
EMR,0.5101123595505618,0.33707865168539325,0.5146886016451234,0.3384253819036428
ENBL,0.8812785388127854,0.4200913242009132,0.9290780141843972,0.3735224586288416
EOG,0.2813141683778234,0.30184804928131415,0.33068520357497516,0.32969215491559084
EQM,0.35384615384615387,0.36666666666666664,0.3644278606965174,0.3034825870646766
EQT,0.3333333333333333,0.0,0.5833333333333334,0.25
EROS,0.33507853403141363,0.3795811518324607,0.32275132275132273,0.373015873015873
EW,0.21212121212121213,0.3434343434343434,0.2,0.31869918699186994
EXK,0.469811320754717,0.4226415094339623,0.47692307692307695,0.4028846153846154
FBHS,0.3288590604026846,0.3288590604026846,0.33214285714285713,0.3142857142857143
FCX,0.5316455696202531,0.27848101265822783,0.5035971223021583,0.3597122302158273
FHN,0.5565529622980251,0.40574506283662476,0.5432098765432098,0.3853615520282187
FL,0.4057971014492754,0.3526570048309179,0.3975757575757576,0.3284848484848485
FLO,0.353904282115869,0.37405541561712846,0.39337085678549094,0.39524702939337086
FNF,0.08902439024390243,0.424390243902439,0.08784596871239471,0.37725631768953066
FSM,0.9729166666666667,0.3875,0.9866071428571429,0.4252232142857143
FTI,0.5555555555555556,0.3333333333333333,0.481651376146789,0.3532110091743119
GD,0.2277992277992278,0.305019305019305,0.2314540059347181,0.3353115727002967
GES,0.616060225846926,0.36762860727728985,0.6536796536796536,0.35992578849721707
GGB,0.9869621903520208,0.42242503259452413,0.9851325145442793,0.38009049773755654
GIS,0.17370892018779344,0.3568075117370892,0.19358669833729217,0.4002375296912114
GNW,0.6068376068376068,0.39487179487179486,0.6231281198003328,0.38685524126455906
GPN,0.30062305295950154,0.37227414330218067,0.33719135802469136,0.3595679012345679
GRUB,0.2857142857142857,0.31381733021077285,0.2806414662084765,0.32875143184421535
HBI,0.24361158432708688,0.39522998296422485,0.24979114452798662,0.40350877192982454
HD,0.2471655328798186,0.3219954648526077,0.2265625,0.3482142857142857
HOG,0.35877862595419846,0.3511450381679389,0.3691026827012026,0.37465309898242366
HDB,0.31323529411764706,0.3558823529411765,0.342143906020558,0.3737151248164464
HP,0.3230563002680965,0.3378016085790885,0.3313373253493014,0.334664005322688
HRL,0.019704433497536946,0.4187192118226601,0.041474654377880185,0.39976958525345624
HUN,0.3904109589041096,0.386986301369863,0.3741721854304636,0.3708609271523179
IAG,0.8295454545454546,0.38636363636363635,0.7945945945945946,0.372972972972973
IBN,0.5321375186846039,0.375186846038864,0.5183553597650514,0.41923641703377384
IGT,0.2939024390243902,0.37073170731707317,0.2833935018050541,0.39290012033694344
INFY,0.2072072072072072,0.40315315315315314,0.20591581342434584,0.40273037542662116
IP,0.23115577889447236,0.3743718592964824,0.24724602203182375,0.40024479804161567
IRM,0.23392857142857143,0.37142857142857144,0.19642857142857142,0.3821428571428571
ITW,0.32230215827338127,0.35251798561151076,0.3551601423487544,0.3309608540925267
JBL,0.6474358974358975,0.3798076923076923,0.6121495327102804,0.37616822429906543
JCP,0.1517509727626459,0.3553826199740597,0.1549652118912081,0.37318153067678683
JEC,0.32045088566827695,0.31239935587761675,0.3582887700534759,0.3582887700534759
JNPR,0.33819241982507287,0.3673469387755102,0.31486880466472306,0.39504373177842567
K,0.5360281195079086,0.4112478031634446,0.5487394957983194,0.3764705882352941
KBR,0.7025316455696202,0.43037974683544306,0.6925925925925925,0.37777777777777777
KEY,0.22608695652173913,0.3898550724637681,0.24910522548317823,0.39441660701503223
KIM,0.29045643153526973,0.4149377593360996,0.27218934911242604,0.39447731755424065
KMB,0.24859550561797752,0.3637640449438202,0.27061310782241016,0.34460887949260044
KMX,0.46436285097192226,0.35853131749460043,0.47648902821316613,0.35318704284221525
KO,0.3524390243902439,0.3878048780487805,0.30685920577617326,0.36702767749699156
KSS,0.4482758620689655,0.41379310344827586,0.6071428571428571,0.3392857142857143
KYN,0.9180887372013652,0.42662116040955633,0.9403973509933775,0.3443708609271523
LCI,0.2206703910614525,0.34217877094972066,0.20095367847411444,0.3446866485013624
LEN,0.28642384105960267,0.34105960264900664,0.27580645161290324,0.35
LMT,0.45955882352941174,0.3161764705882353,0.4353146853146853,0.3479020979020979
LNT,0.8809523809523809,0.3888888888888889,0.9068825910931174,0.3805668016194332
LPI,0.2847380410022779,0.36446469248291574,0.32805429864253394,0.38122171945701355
LPX,0.39723926380368096,0.38496932515337423,0.38304552590266877,0.36342229199372056
LVS,0.3490364025695932,0.31905781584582443,0.3641912512716175,0.34282807731434384
MA,0.2646341463414634,0.3231707317073171,0.27617328519855594,0.33212996389891697
MAS,0.5,0.34210526315789475,0.6363636363636364,0.4772727272727273
MCD,0.27238805970149255,0.3208955223880597,0.2631578947368421,0.3473684210526316
MDP,0.5040322580645161,0.36088709677419356,0.4970178926441352,0.33101391650099404
MDU,0.8904761904761904,0.37857142857142856,0.8870588235294118,0.3623529411764706
MET,0.25177304964539005,0.3333333333333333,0.23817292006525284,0.3523654159869494
MGM,0.5758513931888545,0.4055727554179567,0.5510835913312694,0.3653250773993808
MNK,0.3120567375886525,0.29432624113475175,0.3079710144927536,0.30978260869565216
MO,0.19634146341463415,0.35853658536585364,0.21419975932611313,0.3700361010830325
MPC,0.3233333333333333,0.35,0.3504823151125402,0.3327974276527331
MPW,0.2722689075630252,0.36134453781512604,0.27883817427385893,0.3900414937759336
MTDR,0.26006191950464397,0.3606811145510836,0.2547673531655225,0.36308161708619374
MUR,0.41379310344827586,0.35402298850574715,0.4377104377104377,0.3389450056116723
NAT,0.8474784747847478,0.3899138991389914,0.8460144927536232,0.4178743961352657
NEM,0.2483766233766234,0.3198051948051948,0.28674698795180725,0.3397590361445783
NGL,0.8284023668639053,0.2958579881656805,0.8666666666666667,0.4
NKE,0.3639291465378422,0.36231884057971014,0.3759512937595129,0.3820395738203957
NLY,0.763768115942029,0.4057971014492754,0.7741707833450953,0.3980239943542696
NOV,0.33653846153846156,0.28846153846153844,0.3875598086124402,0.4019138755980861
NRG,0.5994358251057827,0.37940761636107195,0.6030534351145038,0.3705759888965996
NUE,0.2707317073170732,0.36585365853658536,0.273164861612515,0.35138387484957884
NVS,0.22023809523809523,0.30952380952380953,0.2613981762917933,0.3556231003039514
NYT,0.8901869158878505,0.3574766355140187,0.8820224719101124,0.36966292134831463
OAS,0.5666666666666667,0.3,0.37142857142857144,0.2857142857142857
OHI,0.35121951219512193,0.3853658536585366,0.3522167487684729,0.3891625615763547
OII,0.3157894736842105,0.3157894736842105,0.4,0.3
OPK,0.6412556053811659,0.38266068759342303,0.7102803738317757,0.393961179007908
ORI,0.4695121951219512,0.40487804878048783,0.4657039711191336,0.38748495788206977
PAA,0.17114093959731544,0.35906040268456374,0.1724960254372019,0.38791732909379967
PBF,0.4878048780487805,0.32752613240418116,0.5470085470085471,0.3572649572649573
PBR,0.7679180887372014,0.36006825938566556,0.7895167895167895,0.40294840294840295
PCG,0.5230769230769231,0.24615384615384617,0.5121951219512195,0.3252032520325203
PEB,0.14519056261343014,0.32667876588021777,0.20902394106813996,0.36556169429097607
PEP,0.5038610038610039,0.3764478764478765,0.5243790248390064,0.3735050597976081
PFG,0.627906976744186,0.28488372093023256,0.5956873315363881,0.353099730458221
PGR,0.38120567375886527,0.40070921985815605,0.4154118689105403,0.3861824623560673
PM,0.2658536585365854,0.348780487804878,0.27256317689530685,0.3447653429602888
PPG,0.25787965616045844,0.2607449856733524,0.3399390243902439,0.3125
PRU,0.46153846153846156,0.6153846153846154,0.2727272727272727,0.18181818181818182
PVG,0.09090909090909091,0.4113636363636364,0.10344827586206896,0.39655172413793105
PWR,0.4187582562747688,0.35006605019815057,0.4278249510124102,0.3762246897452645
RBS,0.7425997425997426,0.40025740025740025,0.7138263665594855,0.3948553054662379
RCL,0.3514246947082768,0.3582089552238806,0.32384105960264903,0.34172185430463575
RH,0.1678082191780822,0.3321917808219178,0.24496644295302014,0.337248322147651
RLGY,0.7044025157232704,0.39937106918238996,0.6779935275080906,0.3705501618122977
RNG,0.22085889570552147,0.3006134969325153,0.2215628090999011,0.3630069238377844
ROYT,0.125,0.625,0.29411764705882354,0.5882352941176471
RSG,0.8347676419965576,0.36316695352839934,0.817104149026249,0.39627434377646065
RUBI,0.10336538461538461,0.37740384615384615,0.07781649245063879,0.3670150987224158
SBGL,0.17511520737327188,0.41244239631336405,0.22261072261072262,0.38461538461538464
SBS,0.7640791476407914,0.3881278538812785,0.7942293090356871,0.425208807896735
SDRL,0.4562043795620438,0.3029197080291971,0.46261682242990654,0.30467289719626167
SEAS,0.8050632911392405,0.3949367088607595,0.7775030902348579,0.3856613102595797
SERV,0.7040498442367601,0.3582554517133956,0.7158730158730159,0.39206349206349206
SID,0.5804878048780487,0.3829268292682927,0.6107099879663056,0.4043321299638989
SKT,0.24444444444444444,0.39145299145299145,0.2464255677039529,0.3860386879730866
SLB,0.34615384615384615,0.3475783475783476,0.3259361997226075,0.3536754507628294
SM,0.31610337972166996,0.34592445328031807,0.30807577268195413,0.3349950149551346
SNY,0.6068222621184919,0.3859964093357271,0.6259673258813414,0.36715391229578676
SPR,0.23529411764705882,0.3429286608260325,0.21951219512195122,0.3463414634146341
SSI,0.7619047619047619,0.3619047619047619,0.6762295081967213,0.3114754098360656
STI,0.21621621621621623,0.36977886977886976,0.2221549636803874,0.3704600484261501
STOR,0.427536231884058,0.35507246376811596,0.4392857142857143,0.3952380952380952
SU,0.375,0.36666666666666664,0.38704318936877075,0.38704318936877075
SWN,0.6223506743737958,0.36801541425818884,0.6119962511715089,0.38706654170571697
SYF,0.4608294930875576,0.3456221198156682,0.5223214285714286,0.3482142857142857
T,0.19788519637462235,0.35347432024169184,0.2036101083032491,0.3884476534296029
TD,0.6601503759398496,0.3804511278195489,0.6871387283236994,0.3713872832369942
TEN,0.3569277108433735,0.37650602409638556,0.3717557251908397,0.31755725190839695
TIF,0.35,0.3375,0.37142857142857144,0.36084656084656086
TER,0.7420212765957447,0.38563829787234044,0.7268041237113402,0.3556701030927835
TMO,0.39901477832512317,0.3448275862068966,0.41739130434782606,0.33695652173913043
TOT,0.42496050552922593,0.3333333333333333,0.4471858134155744,0.34232845026985353
TPH,0.21453900709219859,0.40425531914893614,0.1958041958041958,0.3767482517482518
TRN,0.40711462450592883,0.3814229249011858,0.38476374156219867,0.38476374156219867
TRP,0.7445255474452555,0.4233576642335766,0.8006872852233677,0.32989690721649484
TSM,0.847457627118644,0.5254237288135594,0.8368794326241135,0.425531914893617
TTM,0.22195121951219512,0.3426829268292683,0.20156438026474127,0.37845968712394706
TV,0.3914590747330961,0.3505338078291815,0.41242450388265744,0.3822260569456428
UA,0.525974025974026,0.3961038961038961,0.48148148148148145,0.4107744107744108
UBS,0.3238095238095238,0.4095238095238095,0.3382978723404255,0.33404255319148934
UGI,0.6897081413210445,0.3717357910906298,0.6411042944785276,0.3934049079754601
UNM,0.14154411764705882,0.3713235294117647,0.137117903930131,0.3764192139737991
UNT,0.3671497584541063,0.30434782608695654,0.3890160183066362,0.3112128146453089
URI,0.19262295081967212,0.3360655737704918,0.20612244897959184,0.336734693877551
V,0.3081924577373212,0.34070221066319895,0.33035714285714285,0.34183673469387754
VET,0.28083989501312334,0.3779527559055118,0.29449838187702265,0.341747572815534
VMW,0.2170212765957447,0.33617021276595743,0.22297297297297297,0.30855855855855857
AR,0.541795665634675,0.3715170278637771,0.5256975036710719,0.355359765051395
BAX,0.3744619799139168,0.38880918220946914,0.38091922005571033,0.3725626740947075
BBT,0.6046128500823723,0.342668863261944,0.6469673405909798,0.3724727838258165
BERY,0.6447368421052632,0.3473684210526316,0.6521164021164021,0.4166666666666667
BGG,0.847457627118644,0.4406779661016949,0.8814229249011858,0.3241106719367589
BSBR,0.2956521739130435,0.3826086956521739,0.23907225691347012,0.4032114183764496
BTE,0.6475609756097561,0.32682926829268294,0.6690734055354994,0.36401925391095064
BVN,0.16843501326259946,0.3713527851458886,0.18299805321219986,0.3536664503569111
CCJ,0.11951219512195121,0.3902439024390244,0.10288808664259928,0.3916967509025271
CHGG,0.6622807017543859,0.34649122807017546,0.6977225672877847,0.391304347826087
CIT,0.4137291280148423,0.4007421150278293,0.35862691960252935,0.35049683830171635
CMC,0.6846625766871166,0.40736196319018403,0.6976885644768857,0.3880778588807786
CNHI,0.3654223968565815,0.3555992141453831,0.3691860465116279,0.39244186046511625
CNQ,0.5348837209302325,0.39244186046511625,0.49262536873156343,0.3421828908554572
COT,0.5051194539249146,0.3378839590443686,0.5405844155844156,0.3814935064935065
CSTM,0.672316384180791,0.423728813559322,0.6585365853658537,0.3951219512195122
CVE,0.4768292682926829,0.35365853658536583,0.4446450060168472,0.39290012033694344
CX,0.3182926829268293,0.3878048780487805,0.3237063778580024,0.39590854392298436
DB,0.33271719038817005,0.34750462107208874,0.3090745732255166,0.3638814016172507
DHI,0.19634146341463415,0.3475609756097561,0.18844069837447322,0.3937387116195063
DLR,0.3008849557522124,0.2890855457227139,0.2784636488340192,0.3484224965706447
DPLO,0.65,0.4375,0.6761363636363636,0.4318181818181818
DTE,0.3384615384615385,0.35384615384615387,0.35041551246537395,0.3670360110803324
ED,0.326271186440678,0.3474576271186441,0.27459016393442626,0.3319672131147541
EMN,0.29335260115606937,0.3569364161849711,0.2955032119914347,0.3269093504639543
ENLC,0.07439024390243902,0.4121951219512195,0.06678700361010831,0.4121540312876053
EQR,0.4306569343065693,0.33941605839416056,0.40694568121104185,0.39715048975957257
ERF,0.4903339191564148,0.4130052724077329,0.5386620330147698,0.40660295395308427
EXC,0.7789473684210526,0.3263157894736842,0.7407407407407407,0.3915343915343915
FCAU,0.17128874388254486,0.401305057096248,0.1556791104050834,0.397934868943606
FIS,0.23783783783783785,0.36936936936936937,0.22487223168654175,0.3534923339011925
FNB,0.8003003003003003,0.4084084084084084,0.7799564270152506,0.39941902687000724
G,0.8825396825396825,0.3619047619047619,0.8732394366197183,0.3646322378716745
