Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.4729161,0.09042634,0.08918349,0.08984921,0.08721551,0.090683736,0.30950955,0.49122852,0.42691892,0.50494,0.47278178,0.4848192,0.49991387,0.5356279,0.58620536,0.6166694,0.6131768,0.10252326,0.107997775,0.59196454,0.60580325,0.5628075,0.32444236,0.11997413,0.13036628,0.42944574,0.07404206,3.0,2.0
0.50731796,0.32058868,0.31816813,0.31322867,0.31984112,0.32416517,0.1479413,0.56993055,0.36268115,0.5373894,0.46067318,0.54111767,0.5946887,0.59746295,0.5591212,0.6306407,0.60198987,0.36561358,0.30084014,0.56019455,0.5911283,0.5138048,0.49269846,0.4383103,0.52186114,0.91051805,0.6320622,3.0,1.0
0.5056169,0.057957824,0.05845134,0.058914967,0.05773636,0.060032308,0.40797102,0.5265454,0.4633135,0.5260585,0.538828,0.5335249,0.52890074,0.55355436,0.58320224,0.61814123,0.5925492,0.07631678,0.06351209,0.54027015,0.53831863,0.5717858,0.2558402,0.20561054,0.10969163,0.39767316,0.06671898,3.0,2.0
0.61418355,0.024730692,0.025459476,0.023628168,0.025507862,0.02652221,0.41146672,0.5330855,0.43845865,0.52530426,0.5206653,0.56504035,0.5600086,0.59981614,0.63976085,0.682899,0.667864,0.019849874,0.022722073,0.6125181,0.59194684,0.64201397,0.5256538,0.39062622,0.5288778,0.2567017,0.06188684,1.0,2.0
0.56811154,0.60081935,0.6042483,0.61075705,0.61111957,0.61215407,0.03746886,0.59588397,0.4932347,0.5730651,0.57240707,0.6007852,0.7683342,0.8390899,0.84243876,0.86347884,0.86005306,0.55517,0.5630884,0.87144065,0.8053312,0.85058624,0.8909349,0.8441344,0.8933573,0.86737436,0.464084,3.0,0.0
0.4191484,0.31907147,0.32841218,0.31711486,0.3299221,0.3344049,0.11235216,0.5545973,0.35834563,0.58749235,0.6937535,0.60129315,0.53460115,0.53701735,0.5962818,0.5997288,0.5687093,0.33690524,0.3591616,0.6379165,0.6423319,0.6025528,0.560223,0.7129253,0.60601324,0.7824144,0.5200199,2.0,1.0
0.63727987,0.8497952,0.8675806,0.86615884,0.8709332,0.8707855,0.027756264,0.7682622,0.54444426,0.57007945,0.6041331,0.6806894,0.73315185,0.70211565,0.7614452,0.8308926,0.8646649,0.90891016,0.7913812,0.6375621,0.62915176,0.62848675,0.6422583,0.75675094,0.84280074,0.9249252,0.7163156,1.0,0.0
0.5277979,0.3309058,0.33278096,0.33794495,0.33160225,0.33947116,0.12457664,0.48395446,0.4352849,0.48384672,0.49166906,0.50352675,0.5092185,0.57410485,0.5832332,0.62358874,0.57264394,0.37294075,0.34913418,0.55132526,0.56986433,0.5350495,0.35817513,0.14062478,0.24101783,0.93799776,0.22168098,3.0,1.0
0.50377774,0.9508421,0.95781857,0.9606715,0.9434855,0.9434208,0.019977812,0.42065504,0.49145287,0.6615832,0.82035017,0.8799999,0.5997275,0.5540088,0.56481874,0.6254134,0.67251736,0.9960668,0.82003903,0.6791928,0.74700946,0.49204943,0.5921074,0.87087506,0.78646994,0.93525994,0.9715047,3.0,0.0
0.601103,0.30132,0.29752937,0.29550755,0.29402778,0.30095565,0.14655559,0.4800859,0.39503008,0.48905167,0.51689976,0.545188,0.55382574,0.5843666,0.5827397,0.6221379,0.6152069,0.3282527,0.30794653,0.53545594,0.5259727,0.584953,0.29222286,0.41488028,0.55256695,0.87402296,0.15979564,1.0,1.0
0.5839864,0.33014718,0.33368486,0.33281517,0.33878112,0.3434034,0.09799259,0.56737506,0.4953577,0.6390689,0.6421372,0.6712645,0.57327825,0.6652526,0.63148665,0.7082802,0.733675,0.35439947,0.34230298,0.590643,0.57770765,0.6166853,0.5816828,0.8939637,0.7028888,0.9309527,0.57343566,1.0,1.0
0.61137635,0.3365195,0.3324797,0.30530077,0.31984112,0.32125786,0.16616918,0.7393786,0.6490317,0.6462805,0.61492133,0.6266265,0.59925175,0.5464631,0.6027823,0.60237205,0.5940689,0.33866325,0.3364762,0.5253006,0.5357252,0.53990555,0.5458231,0.32598236,0.16818595,0.7728606,0.48423436,1.0,1.0
0.3816123,0.7678653,0.76679724,0.77708685,0.77378947,0.77353054,0.031804577,0.4974807,0.40683708,0.5599127,0.57790136,0.5820691,0.57249826,0.563474,0.4799997,0.5451108,0.55565786,0.7986265,0.81710476,0.68794394,0.7144346,0.5800416,0.5662762,0.53972816,0.50850075,0.9015255,0.71582,2.0,0.0
