Label,col-0,col-1,col-2,col-3,col-4,col-5,col-6,col-7,col-8,col-9,col-10,col-11,col-12,col-13,col-14,col-15,col-16,col-17,col-18,col-19,col-20,col-21,col-22,col-23,col-24,col-25,direction,Cluster
0.4244202,0.38613862,0.36462608,0.40238056,0.39418074,0.7507147,0.022506101,0.42784795,0.39124155,0.43066365,0.48404312,0.42782387,0.37423995,0.3959687,0.41338536,0.38976252,0.36609316,0.4741713,0.40689734,0.4212279,0.4438809,0.41794252,0.33344805,0.39765385,0.23521726,0.23568512,0.19714914,3.0,1.0
0.44761142,0.6159616,0.57387245,0.61817896,0.5993875,0.7629839,0.016284585,0.28087687,0.3403801,0.40614736,0.4752607,0.48991373,0.45635435,0.5526006,0.5373573,0.4929633,0.4425792,0.63010544,0.5337393,0.5604967,0.5211317,0.60694927,0.51018846,0.74191135,0.7668551,0.29733187,0.30144563,1.0,0.0
0.30809173,0.5925593,0.55803764,0.61694235,0.6039816,0.8061066,0.008777479,0.38729537,0.40149218,0.44666427,0.4687206,0.47529262,0.5037301,0.52657676,0.545546,0.56253445,0.5452182,0.59756994,0.5273247,0.67218053,0.6539459,0.59238315,0.7051971,0.6514981,0.6330215,0.3132743,0.1589853,3.0,0.0
0.3439641,0.05310527,0.044252757,0.045602113,0.036140896,0.03212862,0.003316201,0.34396428,0.3361741,0.3090148,0.3552492,0.39299196,0.42842203,0.49155435,0.5161952,0.47605324,0.44113648,0.077800676,0.015907869,0.5306032,0.5618253,0.43210235,0.33872625,0.12406261,0.36189562,0.5876204,0.26682046,3.0,2.0
0.35735974,0.40744072,0.3818748,0.4261864,0.41439512,0.802038,0.01236628,0.38363063,0.4222612,0.46323395,0.49287826,0.5053922,0.54992056,0.57647544,0.6148151,0.6422789,0.65453076,0.37683865,0.35443074,0.6844556,0.63214684,0.67611116,0.76451594,0.7101016,0.7398917,0.16641623,0.14492229,3.0,0.0
0.36641908,0.61746174,0.574438,0.61292315,0.6045942,0.76813346,0.021790855,0.34032184,0.28104392,0.31920254,0.39637047,0.41170546,0.44307455,0.4287765,0.39756942,0.41915208,0.39062455,0.6495128,0.5935471,0.615641,0.6384564,0.47843978,0.46738023,0.3896842,0.52288854,0.3002132,0.2602715,3.0,1.0
0.39138576,0.4677468,0.43531746,0.48245475,0.47381315,0.81742895,0.014291688,0.3796274,0.38728565,0.38927713,0.40895548,0.44927943,0.502096,0.51920956,0.5052028,0.5066177,0.51161236,0.48230487,0.4157016,0.649287,0.6509887,0.5384751,0.6260654,0.49226964,0.60342544,0.28043428,0.100476146,3.0,0.0
0.36665505,0.5688569,0.53145766,0.5752048,0.5611027,0.5256771,0.003999026,0.33758333,0.350905,0.38935354,0.46853462,0.48440546,0.50635934,0.5609182,0.58992475,0.57110685,0.5785078,0.56618893,0.46983334,0.63309574,0.58770335,0.64381367,0.63521594,0.8326909,0.9083384,0.711005,0.17276213,3.0,0.0
0.3585158,0.32883286,0.3055281,0.3340547,0.32251152,0.2998684,0.0026843231,0.35384244,0.41163605,0.51411057,0.5228724,0.535888,0.4661498,0.51302296,0.5022536,0.50592214,0.5191032,0.31652665,0.24340375,0.585663,0.54824656,0.61026174,0.58547825,0.81283003,0.5751546,0.6402014,0.45214376,3.0,2.0
0.37710428,0.060305983,0.07196381,0.06909879,0.080398165,0.06493003,0.0032368028,0.45696533,0.46401903,0.49350646,0.51175034,0.5378148,0.48787594,0.52656573,0.54757154,0.5194892,0.49452105,0.050857555,0.042473186,0.61689687,0.6212307,0.52216166,0.66345227,0.69199896,0.4708203,0.5891332,0.18544622,3.0,2.0
